person_id,person_name,person_gender
1,A.V. Rockwell,Mujer
2,Aaron Horvath,Hombre
3,Aaron Nee,Hombre
4,Aaron Schneider,Hombre
5,Adam Brooks,Hombre
6,Adam Green,Hombre
7,Adam McKay,Hombre
8,Adam Randall,Hombre
9,Adam Shankman,Hombre
10,Adam Wingard,Hombre
11,Adele Lim,Mujer
12,Adrian Lyne,Hombre
13,Adrienne Shelly,Mujer
14,Alan J. Pakula,Hombre
15,Alan Metter,Hombre
16,Alan Parker,Hombre
17,Alan Taylor,Hombre
18,Albert Hughes,Hombre
19,Alejandra Márquez Abella,Mujer
20,Alejandro Amenábar,Hombre
21,Alejandro G. Iñárritu,Hombre
22,Alejandro Monteverde,Hombre
23,Alessandro Carloni,Hombre
24,Alex Garland,Hombre
25,Alex Kurtzman,Hombre
26,Alex Proyas,Hombre
27,Alexander Payne,Hombre
28,Alexandre Aja,Hombre
29,Alfonso Cuarón,Hombre
30,Alfred Hitchcock,Hombre
31,Alice Troughton,Mujer
32,Allen Coulter,Hombre
33,Amanda McBaine,Mujer
34,Amy Heckerling,Mujer
35,Andrew Adamson,Hombre
36,Andrew Davis,Hombre
37,Andrew Dominik,Hombre
38,Andrew Erwin,Hombre
39,Andrew Fleming,Hombre
40,Andrew Haigh,Hombre
41,Andrew Niccol,Hombre
42,Andrew Stanton,Hombre
43,Andrey Konchalovskiy,Hombre
44,Andrzej Zulawski,Hombre
45,André Øvredal,Hombre
46,Andy Fickman,Hombre
47,Andy Muschietti,Hombre
48,Andy Serkis,Hombre
49,Andy Tennant,Hombre
50,Aneesh Chaganty,Hombre
51,Ang Lee,Hombre
52,Angel Manuel Soto,Hombre
53,Angelina Jolie,Mujer
54,Anna Boden,
55,Annabel Jankel,Mujer
56,Anne Fletcher,Mujer
57,Anthony Minghella,Hombre
58,Anthony Russo,Hombre
59,Antoine Fuqua,Hombre
60,Anton Corbijn,Hombre
61,Antonio Campos,Hombre
62,April Mullen,Mujer
63,Ari Aster,Hombre
64,Ariel Vromen,Hombre
65,Armando Iannucci,Hombre
66,Arthur Hiller,Hombre
67,Arthur Penn,Hombre
68,Autumn de Wilde,Mujer
69,Ava DuVernay,Mujer
70,Baltasar Kormákur,Hombre
71,Barry Jenkins,Hombre
72,Barry Levinson,Hombre
73,Barry Sonnenfeld,Hombre
74,Baz Luhrmann,Hombre
75,Ben Affleck,Hombre
76,Ben Falcone,Hombre
77,Ben Stiller,Hombre
78,Ben Wheatley,Hombre
79,Benjamin Caron,Hombre
80,Bennett Miller,Hombre
81,Benny Safdie,Hombre
82,Bernardo Bertolucci,Hombre
83,Beyoncé,Mujer
84,Bharat Nalluri,Hombre
85,Bill Burr,Hombre
86,Bill Condon,Hombre
87,Bill Duke,Hombre
88,Bill Holderman,Hombre
89,Billy Wilder,Hombre
90,Bishal Dutta,Hombre
91,Blake Edwards,Hombre
92,Blitz Bazawule,Hombre
93,Boaz Yakin,Hombre
94,Bob Clark,Hombre
95,Bob Persichetti,Hombre
96,Bobby Farrelly,Hombre
97,Bong Joon Ho,Hombre
98,Brad Anderson,Hombre
99,Brad Bird,Hombre
100,Brad Furman,Hombre
101,Brad Peyton,Hombre
102,Brad Silberling,Hombre
103,Bradley Cooper,Hombre
104,Brandon Cronenberg,Hombre
105,Brandon Trost,Hombre
106,Brenda Chapman,Mujer
107,Brett Ratner,Hombre
108,Brian De Palma,Hombre
109,Brian Duffield,Hombre
110,Brian Helgeland,Hombre
111,Brian Henson,Hombre
112,Brian Levant,Hombre
113,Brian Robbins,Hombre
114,Bryan Bertino,Hombre
115,Bryan Gordon,Hombre
116,Bryan Singer,Hombre
117,Burr Steers,Hombre
118,Byron Howard,Hombre
119,Cal Brunker,Hombre
120,Cameron Crowe,Hombre
121,Camille Griffin,Mujer
122,Cary Joji Fukunaga,Hombre
123,Cate Shortland,Mujer
124,Catherine Hardwicke,Mujer
125,Cathy Yan,Mujer
126,Chad Stahelski,Hombre
127,Charles Crichton,Hombre
128,Charles E. Sellier Jr.,Hombre
129,Charles Laughton,Hombre
130,Charles Shyer,Hombre
