actor_id,actor_name,actor_gender
1,50 Cent,M
2,AJ Michalka,F
3,Aaron Burns,M
4,Aaron Eckhart,M
5,Aaron Heffernan,M
6,Aaron Kingsley Adetola,M
7,Aaron Paul,M
8,Aaron Pierre,M
9,Aaron Ruell,M
10,Aaron Taylor-Johnson,M
11,Abbie Cornish,F
12,Abby Craden,F
13,Abby Ryder Fortson,F
14,Abe Vigoda,M
15,Abigail Breslin,F
16,Abigail Cowen,F
17,Abraham Clinkscales,M
18,Adain Bradley,M
19,Adam Arkin,M
20,Adam Baldwin,M
21,Adam Brody,M
22,Adam Campbell,M
23,Adam Cockburn,M
24,Adam Devine,M
25,Adam Driver,M
26,Adam Faison,M
27,Adam Garcia,M
28,Adam Goldberg,M
29,Adam Pascal,M
30,Adam Sandler,M
31,Adam Scott,M
32,Adelaide Kane,F
33,Adewale Akinnuoye-Agbaje,M
34,Adil Hussain,M
35,Adria Arjona,F
36,Adrian Grenier,M
37,Adrian Martinez,M
38,Adrian Rawlins,M
39,Adrien Brody,M
40,Adèle Exarchopoulos,F
41,Agnes Moorehead,F
42,Agnes O'Casey,F
43,Ahney Her,F
44,Aidan Quinn,M
45,Aidy Bryant,F
46,Aileen Quinn,F
47,Aimee Garcia,F
48,Aimee Lou Wood,F
49,Aisling Bea,F
50,Aisling Franciosi,F
51,Aitana Sánchez-Gijón,F
52,Ajay Naidu,M
53,Akihiro Kitamura,M
54,Aksel Hennie,M
55,Al Pacino,M
56,Alakina Mann,F
57,Alan Alda,M
58,Alan Arkin,M
59,Alan Cumming,M
60,Alan Howard,M
61,Alan Rickman,M
62,Alan Ruck,M
63,Alan Tudyk,M
64,Alana Haim,F
65,Alanna Ubach,F
66,Albert Brooks,M
67,Albert Finney,M
68,Alden Ehrenreich,M
69,Aldis Hodge,M
70,Alec Baldwin,M
71,Alec Guinness,M
72,Alejandro Akara,M
73,Aleks Mikic,M
74,Aleksey Serebryakov,M
75,Alessandro Bressanello,M
76,Alessandro Cremona,M
77,Alessandro Nivola,M
78,Alex Fisher,M
79,Alex Hassell,M
80,Alex Moffat,M
81,Alex Palmer,M
82,Alex Pettyfer,M
83,Alex R. Hibbert,M
84,Alex Reid,M
85,Alex Russell,M
86,Alex Sharp,M
87,Alex Winter,M
88,Alex Wolff,M
89,Alexa PenaVega,F
90,Alexander Gould,M
91,Alexander Skarsgård,M
92,Alexandra Daddario,F
93,Alexandra Essoe,F
94,Alexandra Maria Lara,F
95,Alexandra Paul,F
96,Alexis Linkletter,F
97,Alexis Zollicoffer,F
98,Aleyse Shannon,F
99,Alfie Allen,M
100,Alfred Molina,M
101,Ali Larter,F
102,Ali MacGraw,F
103,Alia Bhatt,F
104,Alice Braga,F
105,Alice Feetham,F
106,Alicia Silverstone,F
107,Alicia Vikander,F
108,Alin Uzun,M
109,Alisha Wainwright,F
110,Alisha Weir,F
111,Alison Brie,F
112,Alison Doody,F
113,Alison Lohman,F
114,Alison Sudol,F
115,Alistair Abell,M
116,Allen Covert,M
117,Allen Danziger,M
118,Allen Leech,M
119,Allison Janney,F
120,Allison Tolman,F
121,Allison Williams,F
122,Ally Sheedy,F
123,Ally Walker,F
124,Amanda Bynes,F
125,Amanda Crew,F
126,Amanda Donohoe,F
127,Amanda Peet,F
128,Amanda Seyfried,F
129,Amandla Stenberg,F
130,Amber Doig-Thorne,F
131,Amber Heard,F
132,Amber Midthunder,F
133,Amber Tamblyn,F
134,America Ferrera,F
135,Amie Donald,F
136,Amira Casar,F
137,Aml Ameen,M
138,Amr Waked,M
139,Amrish Puri,M
140,Amy Adams,F
141,Amy Brenneman,F
142,Amy Irving,F
143,Amy Keum,F
144,Amy Poehler,F
145,Amy Ryan,F
146,Amy Smart,F
147,Amy Yasbeck,F
148,An Nguyen,F
149,Ana de Armas,F
150,Ana de la Reguera,F
151,Anders Holm,M
152,Andi Osho,F
153,Andie MacDowell,F
154,Andre Braugher,M
155,Andrea Bang,F
156,Andrea Eckert,F
157,Andrea Riseborough,F
158,Andres Aybar,M
