movie_id,actor_id
1,1707
1,2081
1,1004
1,2355
2,3120
2,1180
2,2354
2,2520
3,972
3,2135
3,3268
3,2617
4,1946
4,2703
4,1981
4,1490
5,2373
5,565
5,515
5,1715
6,2606
6,3135
6,3228
6,814
7,1529
7,3205
7,3045
7,2782
8,607
8,958
8,2176
8,2704
9,1263
9,2155
9,1967
9,1911
10,882
10,3176
10,1511
10,1119
11,280
11,1334
11,226
11,2807
12,2108
12,2794
12,1299
12,1765
13,538
13,325
13,1726
13,1618
14,2958
14,522
14,879
14,1451
15,2139
15,2291
15,606
15,3318
16,2521
16,668
16,834
16,477
17,1459
17,877
17,970
17,379
18,1208
18,2575
18,221
18,1749
19,3261
19,1357
19,364
19,3321
20,1514
20,3065
20,1801
20,1447
21,463
21,376
21,2174
21,3224
22,3170
22,3182
22,1408
22,2230
23,3304
23,1471
23,1207
23,2201
24,30
24,330
24,498
24,1401
25,2578
25,2350
25,1357
25,1106
26,1566
26,2069
26,1109
26,119
27,307
27,455
27,2620
27,2566
28,3087
28,3309
28,287
28,1281
29,424
29,61
29,369
29,2637
30,2257
30,3107
30,516
30,233
31,562
31,224
31,520
31,1310
32,756
32,1590
32,325
32,79
33,2060
33,1539
33,708
33,494
34,1820
34,2298
34,1385
34,3121
35,405
35,3085
35,1280
35,2835
36,230
36,561
36,63
36,174
37,3140
37,552
37,2264
37,1956
38,1378
38,849
38,1998
38,3099
39,1674
39,2582
39,925
39,2190
40,3108
40,1692
40,3249
40,988
41,351
41,722
41,2766
41,3208
42,296
42,3129
42,1454
42,3156
43,2500
43,3189
43,1146
43,1081
44,1766
44,453
44,1691
44,1310
45,1462
45,1674
45,1966
45,2981
46,1542
46,451
46,2556
46,2827
47,2546
47,2224
47,730
47,2872
48,1027
48,3057
48,713
48,636
142,1027
142,3057
142,713
142,636
49,1117
49,1309
49,2560
49,2774
50,191
50,1739
50,1816
50,3240
51,336
51,1749
51,1569
51,1575
52,25
52,2901
52,1152
52,76
53,1462
53,159
53,1906
53,2185
54,1616
54,1073
54,762
54,1234
55,2239
55,1454
55,411
55,1844
56,3136
56,1220
56,3226
56,2944
57,2902
57,1187
57,399
57,2049
58,1417
58,2861
58,3140
58,1448
59,3295
59,425
59,285
59,681
60,3100
60,2921
60,2823
60,2950
61,869
61,1496
61,2281
61,686
62,3120
62,2630
62,3317
62,2479
340,3120
340,2630
340,3317
340,2479
63,3261
63,2800
63,2440
63,2505
64,1977
64,2408
64,1716
64,1495
65,236
65,2948
65,2568
65,2687
66,445
66,1334
66,228
66,670
67,229
67,1195
67,1866
67,2841
68,2717
68,3323
68,1448
68,631
69,2298
69,2987
69,1387
69,1787
70,1448
70,3176
70,1601
70,994
71,2192
71,200
71,1494
71,2063
72,167
72,2526
72,480
72,1382
73,2228
73,2484
73,803
73,1654
74,1417
74,1306
74,2620
74,3265
75,3114
75,2351
75,362
75,3281
76,953
76,2396
76,1139
76,1293
77,1514
77,1101
77,632
77,3012
972,1514
972,1101
972,632
972,3012
78,2073
78,973
78,371
78,2038
79,309
79,1739
79,983
79,106
80,2108
80,1276
80,1561
80,1544
81,3306
81,2573
81,1259
81,1592
82,2142
82,55
82,1357
82,819
83,1946
83,1635
83,2108
83,2192
84,802
84,675
84,1008
84,750
85,2047
85,3300
85,1360
85,759
86,1876
86,3221
86,2090
86,3042
87,3108
87,1387
87,682
87,2059
88,1788
88,1921
88,1128
88,1898
89,3108
89,2976
89,927
89,988
90,756
90,2473
90,226
90,3049
91,887
91,2202
91,1602
91,1116
92,2220
92,1708
92,2567
92,2053
93,2633
93,3219
93,2165
93,2705
94,3141
94,526
94,2401
94,3323
95,2185
95,802
95,482
95,2351
96,3266
96,1397
96,2108
96,3228
97,2251
97,737
97,3013
97,1483
98,808
98,2846
98,609
98,819
99,1402
99,2458
99,3042
99,1455
100,908
100,1271
100,2473
100,2877
101,1793
101,2191
101,385
101,847
102,2788
102,1529
102,642
102,2450
103,1462
103,1674
103,1966
103,2571
104,1561
104,111
104,1685
104,570
105,567
105,1221
105,4
105,2251
106,1208
106,2794
106,149
106,735
107,1613
107,3199
107,2835
107,424
108,356
108,2300
108,1208
108,1779
109,3161
109,2954
109,2516
109,1432
110,1895
110,1955
110,1103
110,3177
111,343
111,316
111,1915
111,1607
112,2252
112,2161
112,1847
112,191
113,562
113,604
113,376
113,2583
114,3218
114,2294
114,1419
114,1652
115,1515
115,2326
115,331
115,659
116,1004
116,2850
116,2429
116,2068
117,31
117,3159
117,763
117,120
118,374
118,894
118,2213
118,3307
119,1838
119,2788
119,1182
119,1852
120,216
120,836
120,2049
120,781
121,3136
121,1456
121,2313
121,3201
122,882
122,1692
122,1550
122,2001
123,1884
123,728
123,1687
123,2447
124,561
124,2294
124,2638
124,1732
125,2239
125,746
125,3054
125,2196
126,719
126,564
126,494
126,3274
127,2185
127,718
127,1878
127,1879
128,2601
128,263
128,2777
128,1216
129,2829
129,3319
129,2940
129,2996
130,225
130,1755
130,1868
130,1686
131,1946
131,1663
131,941
131,1815
132,2876
132,1668
132,1438
132,647
133,3125
133,2918
133,3041
133,3017
134,10
134,928
134,429
134,1815
518,10
518,928
518,429
518,1815
135,1391
135,1545
135,1736
135,1486
136,2546
136,996
136,2689
136,1714
137,374
137,2108
137,1431
137,2462
138,2313
138,1306
138,2226
138,2529
139,1946
139,1766
139,350
139,1780
140,3309
140,241
140,1314
140,2606
141,1041
141,2351
141,499
141,2344
48,720
48,3256
48,2471
48,2101
142,720
142,3256
142,2471
142,2101
143,424
143,3269
143,369
143,2637
144,2574
144,68
144,881
144,2650
145,1696
145,1059
145,2622
145,318
146,3273
146,1049
146,3003
146,2564
147,2518
147,2544
147,3222
147,134
148,102
148,2797
148,1595
148,2624
149,936
149,1397
149,1456
149,2143
150,2452
150,972
150,2604
150,2401
151,203
151,1533
151,201
151,473
152,2703
152,2623
152,1539
152,2020
153,1041
153,1322
153,3217
153,3277
154,1793
154,2189
154,2742
154,195
155,2192
155,522
155,2290
155,1480
156,3107
156,1134
156,3279
156,2952
157,374
157,820
157,906
157,2356
158,91
158,2317
158,2631
158,399
159,1995
159,1640
159,2600
159,3121
160,2408
160,3198
160,841
160,1477
161,1074
161,2593
161,2190
161,2532
162,3090
162,1207
162,505
162,1507
163,2373
163,2311
163,3221
163,3285
164,2473
164,1009
164,1967
164,2147
165,91
165,2411
165,608
165,1004
166,2433
166,2011
166,2257
166,526
167,3144
167,3317
167,307
167,1333
168,3110
168,3032
168,278
168,2674
169,2351
169,374
169,1838
169,163
170,1928
170,2090
170,2750
170,2929
171,253
171,1623
171,2412
171,964
172,1140
172,1101
172,640
172,1988
173,958
173,554
173,494
173,543
174,1533
174,210
174,2868
174,3070
175,1529
175,2703
175,3314
175,1046
176,1022
176,2265
176,2855
176,2283
177,330
177,366
177,367
177,1782
178,482
178,2092
178,2729
178,564
179,1838
179,203
179,3101
179,3252
180,2822
180,1907
180,1442
180,2653
181,55
181,2703
181,3201
181,1633
182,1429
182,1101
182,2373
182,717
183,706
183,974
183,2784
183,991
184,2613
184,224
184,2401
184,1256
185,1419
185,1
185,2216
185,832
186,1886
186,3206
186,2317
186,1815
187,2839
187,974
187,1041
187,915
1022,2839
1022,974
1022,1041
1022,915
188,279
188,1244
188,331
188,2610
189,567
189,1738
189,1676
189,340
190,3219
190,2521
190,917
190,1600
191,3136
191,2411
191,3130
191,3038
192,30
192,2697
192,1330
192,256
193,2232
193,2460
193,545
193,1179
194,1529
194,2511
194,145
194,2382
195,1386
195,582
195,1946
195,1826
196,706
196,974
196,2784
196,2259
197,1967
197,2613
197,299
197,472
198,2192
198,2633
198,2861
198,3173
199,908
199,3216
199,1271
199,2473
200,1946
200,2176
200,1319
200,2139
201,463
201,360
201,111
201,613
202,1663
202,2899
202,1511
202,2006
203,374
203,1547
203,10
203,399
204,1350
204,727
204,2887
204,1421
205,1310
205,1272
205,173
205,865
206,974
206,691
206,2045
206,1671
1117,974
1117,691
1117,2045
1117,1671
207,1041
207,1211
207,561
207,2462
208,1193
208,1634
208,2228
208,1422
1737,1193
1737,1634
1737,2228
1737,1422
209,3140
209,2729
209,1102
209,2810
210,191
210,2932
210,334
210,1862
211,2861
211,2351
211,546
211,138
212,700
212,2518
212,606
212,2154
213,3108
213,2153
213,927
213,988
214,2704
214,554
214,2135
214,556
215,2265
215,1807
215,1661
215,2128
216,538
216,325
216,1283
216,2619
801,538
801,325
801,1283
801,2619
217,2243
217,2903
217,2409
217,379
218,1873
218,1275
218,1643
218,1671
1572,1873
1572,1275
1572,1643
1572,1671
219,3156
219,1422
219,1668
219,3292
220,1208
220,1749
220,2519
220,1606
221,1462
221,1674
221,1966
221,3292
222,1788
222,1921
222,479
222,1267
223,1403
223,557
223,3093
223,1457
224,699
224,149
224,2616
224,2058
225,1328
225,2510
225,465
225,2088
226,2152
226,2142
226,2705
226,1075
227,1884
227,3201
227,2819
227,338
228,2940
228,3151
228,1586
228,3211
229,2149
229,1583
229,300
229,641
230,289
230,2760
230,2392
230,3194
231,3140
231,2176
231,3150
231,890
232,1112
232,1367
232,2600
232,2794
233,1437
233,1576
233,1715
233,3003
234,1876
234,2717
234,345
234,2843
235,389
235,2806
235,3190
235,1256
236,55
236,2293
236,3016
236,2160
237,1208
237,2790
237,2888
237,893
238,677
238,1385
238,1458
238,945
239,2261
239,596
239,1927
239,658
240,3140
240,2253
240,764
240,370
241,2080
241,1292
241,1543
241,884
242,928
242,1478
242,1167
242,1810
243,1788
243,2274
243,99
243,3268
244,971
244,2044
244,1878
244,1048
245,3144
245,2139
245,221
245,2964
246,91
246,2239
246,622
246,863
247,2797
247,2125
247,2503
247,1199
248,1884
248,2510
248,2188
