director_id,director_name,director_gender
1,A.V. Rockwell,F
2,Aaron Horvath,M
3,Aaron Nee,M
4,Aaron Schneider,M
5,Adam Brooks,M
6,Adam Green,M
7,Adam McKay,M
8,Adam Randall,M
9,Adam Shankman,M
10,Adam Wingard,M
11,Adele Lim,F
12,Adrian Lyne,M
13,Adrienne Shelly,F
14,Alan J. Pakula,M
15,Alan Metter,M
16,Alan Parker,M
17,Alan Taylor,M
18,Albert Hughes,M
19,Alejandra Márquez Abella,F
20,Alejandro Amenábar,M
21,Alejandro G. Iñárritu,M
22,Alejandro Monteverde,M
23,Alessandro Carloni,M
24,Alex Garland,M
25,Alex Kurtzman,M
26,Alex Proyas,M
27,Alexander Payne,M
28,Alexandre Aja,M
29,Alfonso Cuarón,M
30,Alfred Hitchcock,M
31,Alice Troughton,F
32,Allen Coulter,M
33,Amanda McBaine,F
34,Amy Heckerling,F
35,Andrew Adamson,M
36,Andrew Davis,M
37,Andrew Dominik,M
38,Andrew Erwin,M
39,Andrew Fleming,M
40,Andrew Haigh,M
41,Andrew Niccol,M
42,Andrew Stanton,M
43,Andrey Konchalovskiy,M
44,Andrzej Zulawski,M
45,André Øvredal,M
46,Andy Fickman,M
47,Andy Muschietti,M
48,Andy Serkis,M
49,Andy Tennant,M
50,Aneesh Chaganty,M
51,Ang Lee,M
52,Angel Manuel Soto,M
53,Angelina Jolie,F
54,Anna Boden,
55,Annabel Jankel,F
56,Anne Fletcher,F
57,Anthony Minghella,M
58,Anthony Russo,M
59,Antoine Fuqua,M
60,Anton Corbijn,M
61,Antonio Campos,M
62,April Mullen,F
63,Ari Aster,M
64,Ariel Vromen,M
65,Armando Iannucci,M
66,Arthur Hiller,M
67,Arthur Penn,M
68,Autumn de Wilde,F
69,Ava DuVernay,F
70,Baltasar Kormákur,M
71,Barry Jenkins,M
72,Barry Levinson,M
73,Barry Sonnenfeld,M
74,Baz Luhrmann,M
75,Ben Affleck,M
76,Ben Falcone,M
77,Ben Stiller,M
78,Ben Wheatley,M
79,Benjamin Caron,M
80,Bennett Miller,M
81,Benny Safdie,M
82,Bernardo Bertolucci,M
83,Beyoncé,F
84,Bharat Nalluri,M
85,Bill Burr,M
86,Bill Condon,M
87,Bill Duke,M
88,Bill Holderman,M
89,Billy Wilder,M
90,Bishal Dutta,M
91,Blake Edwards,M
92,Blitz Bazawule,M
93,Boaz Yakin,M
94,Bob Clark,M
95,Bob Persichetti,M
96,Bobby Farrelly,M
97,Bong Joon Ho,M
98,Brad Anderson,M
99,Brad Bird,M
100,Brad Furman,M
101,Brad Peyton,M
102,Brad Silberling,M
103,Bradley Cooper,M
104,Brandon Cronenberg,M
105,Brandon Trost,M
106,Brenda Chapman,F
107,Brett Ratner,M
108,Brian De Palma,M
109,Brian Duffield,M
110,Brian Helgeland,M
111,Brian Henson,M
112,Brian Levant,M
113,Brian Robbins,M
114,Bryan Bertino,M
115,Bryan Gordon,M
116,Bryan Singer,M
117,Burr Steers,M
118,Byron Howard,M
119,Cal Brunker,M
120,Cameron Crowe,M
121,Camille Griffin,F
122,Cary Joji Fukunaga,M
123,Cate Shortland,F
124,Catherine Hardwicke,F
125,Cathy Yan,F
126,Chad Stahelski,M
127,Charles Crichton,M
128,Charles E. Sellier Jr.,M
129,Charles Laughton,M
130,Charles Shyer,M
131,Charlie Day,M
132,Charlie Kaufman,M
133,Charlotte Regan,F
134,Charlotte Wells,F
135,Chloe Domont,F
136,Chloe Okuno,F
137,Chloé Zhao,F
138,Chris Buck,M
139,Chris BuckKevin Lima,
140,Chris Columbus,M
141,Chris Koch,M
142,Chris McKay,M
143,Chris Peckover,M
144,Chris Sanders,M
145,Chris Wedge,M
146,Chris Weitz,M
