movie_id,title,rating,meta_score,year,revenue,director_id
1,leave the world behind,6.5,67.0,2023,0,763
2,wonka,7.4,66.0,2023,632302312,658
3,poor things,8.5,86.0,2023,117625455,912
4,killers of the flower moon,7.8,89.0,2023,157026901,548
5,may december,7.0,85.0,2023,650223,864
6,the hunger games the ballad of songbirds & snakes,7.1,54.0,2023,338116382,257
7,napoleon,6.6,64.0,2023,216603315,717
8,oppenheimer,8.4,89.0,2023,933700000,154
9,love actually,7.6,55.0,2003,244931766,713
10,candy cane lane,5.6,47.0,2023,0,707
11,saltburn,7.5,61.0,2023,20456642,238
12,barbie,7.0,80.0,2023,1428545028,309
13,national lampoons christmas vacation,7.5,49.0,1989,71319546,383
14,rebel moon - part one a child of fire,6.3,32.0,2023,166000000,917
15,the family plan,6.3,40.0,2023,0,799
16,the holdovers,8.0,82.0,2023,439406801,27
17,family switch,5.6,37.0,2023,0,565
18,indiana jones and the dial of destiny,6.6,58.0,2023,382891104,351
19,elf,7.1,66.0,2003,225097437,441
20,how the grinch stole christmas,6.3,46.0,2000,345823040,751
21,maestro,7.3,78.0,2023,0,103
22,mr. monks last case a monk movie,7.0,65.0,2023,0,703
23,the iron claw,,72.0,2023,45200720,784
24,leo,7.0,65.0,2023,0,732
25,fast charlie,5.9,70.0,2023,0,692
26,the creator,6.9,63.0,2023,104272136,269
27,the grinch,6.4,51.0,2018,508575295,910
28,chicken run dawn of the nugget,6.5,63.0,2023,0,764
29,die hard,8.2,72.0,1988,140767956,430
30,the killer,6.8,73.0,2023,2350174,193
31,the super mario bros. movie,7.0,46.0,2023,1355725263,2
32,violent night,6.7,55.0,2022,75734910,879
33,home alone 2 lost in new york,6.9,46.0,1992,358994850,140
34,a haunting in venice,6.5,63.0,2023,89800000,485
35,the marvels,5.9,50.0,2023,206547829,621
36,wish,5.8,47.0,2023,254876117,138
37,the polar express,6.6,61.0,2004,310634054,740
38,its a wonderful life,8.6,89.0,1946,9644124,258
39,five nights at freddys,5.5,33.0,2023,308644130,241
40,the santa clause,6.6,57.0,1994,189833357,433
41,white christmas,7.6,56.0,1954,0,577
42,finestkind,5.8,44.0,2023,0,110
43,thanksgiving,6.8,63.0,2023,0,234
44,the holiday,6.9,52.0,2006,194168700,614
45,the hunger games,7.2,68.0,2012,694394724,274
46,the boys in the boat,,50.0,2023,54401583,283
47,a christmas story,7.9,77.0,1983,20653717,94
48,the color purple,,70.0,2023,146292000,92
49,willy wonka & the chocolate factory,7.8,67.0,1971,4000000,570
50,trolls band together,6.0,53.0,2023,208448222,895
51,scrooged,6.9,38.0,1988,60328558,714
52,ferrari,6.7,74.0,2023,43332974,587
53,no hard feelings,6.4,59.0,2023,82995526,280
54,charlie and the chocolate factory,6.7,72.0,2005,474968763,856
55,x,6.5,79.0,2022,14779858,855
56,mission impossible - dead reckoning part one,7.8,81.0,2023,563148955,153
57,spider-man across the spider-verse,8.6,86.0,2023,683241751,396
58,asteroid city,6.6,75.0,2023,47281670,898
59,blue beetle,6.0,61.0,2023,124818235,52
60,eileen,6.7,71.0,2023,1365744,905
61,love and monsters,6.9,63.0,2020,1122066,588
62,dune,8.0,74.0,2021,402027830,215
63,spirited,6.6,55.0,2022,0,782
64,dream scenario,7.4,74.0,2023,12470140,497
65,jingle all the way,5.7,34.0,1996,129832389,112
66,priscilla,6.9,78.0,2023,30947890,804
67,talk to me,7.1,76.0,2022,72600000,182
68,the batman,7.8,72.0,2022,770945583,556
69,everything everywhere all at once,7.8,81.0,2022,139200000,178
70,american fiction,7.8,81.0,2023,23026243,165
71,interstellar,8.7,74.0,2014,701729206,154
